id,given_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,soc_sec_id
r0028,lily,thorpe,313,rivett place,thurlgona,mount gravatt,6104,wa,19310318,9216585
r0029,lary,slape,11,lamington street,rosehe ll,albany creek,6020,wa,19010927,2204911
r0030,joshua,linnell,2,lambrigg treet,craigie ela garden,rowville,3185,qld,19480511,7096343
r0031,joshua,linnell,2,lambrigg street,craigie lea garden,balwyn north,3185,qld,19480511,7096343
r0032,sophie,grubb,36,furphy place,mid city centre,cottles bridge,5091,qld,19230322,3779522
r0033,john,slywka,33,gowrie court,boxwood vale,north ward,6014,tas,19590803,5011995
r0034,alexandra,robson,4,brunswick circuit,keith payne hstl,mount sophia,5024,nsw,19470726,5974014
r0035,stella,chandler,50,ebden street,rosetta village,coffs harbour,6304,vic,19741215,8164610
r0036,thomas,white,706,monaro crescent,birra billa,point lofsdale,2088,wa,19310818,5855559
r0037,hannah,bloomfield,7,ferguson circuit,crown allotment,oakden,7253,nsw,19130806,1605711
r0038,,kochiwama,44,antares crescent,telopea p ark,benowa,7017,nsw,19000626,2398260
r0039,lauren,bradshaw,130,ashcroft crescent,upa cottages,stirling north,2198,vic,19301022,1926163
r0040,willow,froscio,378,yandastreet,,keilor,5022,vic,19091226,6630637
r0041,sophie,nicolle,112,garling street,spring creek,kotara,4740,nt,19111001,7492384
r0042,andrew,klander,20,newman morois circuit,the willows,homebush,2285,vic,19761017,5392569
r0043,angus,stanley,6,lazar place,koobeja,floradhill,7008,qld,19971003,1076050
r0044,jack,stubbs,150,heard street,summerset,st agnes,5344,qld,19890526,1690126
r0045,matthew,leong,5,kavelstreet,glen-mwria,minchinbfry,6153,nsw,19170916,1648925
r0046,stella,chandler,50,ebden street,rosetta vlilage,coffs harbour,6304,vic,19741215,8587561
r0047,katel byn,colegte,55,fiveas hstreet,retirement village,londonderry,2195,nsw,19280828,4406021
r0048,ebiny,morby,,condavale,macgillivray street,armidale,2111,nsw,19840906,3945914
r0049,charlie,ebert,21,brewster place,summerdale medical centre,franskton,4570,vic,19711020,3939901
r0050,charlotte,hylnand,25,madsen place,leisure lvikng vlge,clarinda,3108,qld,19820410,9354762
r0051,cheree,purtell,1,spring rsnge road,guest village (cnrubullcreek d drive,cooma,6111,wa,19300407,5062347
r0052,laura,ryan,3,officer crescent,craigie-lea,orange,2289,vic,19120402,4198979
r0053,feilcity,godfrey,16,stuckey place,oaklands village,slacks creek,6050,nsw,19361030,6452813
r0054,matthew,paine,7,mcintyre street,urunga,moulyinning,7000,nws,19250117,6277575
r0055,mikhayla,campbell,9,baynton street,st francis vlge,notting hill,4350,qld,19280711,9484120
r0056,charlie,roussonuis,13,gledden street,woorabinda,craigmore,6026,nsw,19461111,7379154
r0057,dale,fimeri,37,burdett crescent,star court arcade,wilson,6618,nsw,19930529,7559543
r0058,jaime,,342,elliott street,kildarra,bedfordale,2081,qld,19631110,8789539
r0059,riley,gloster,24,farrer place,,frankston,3178,nsw,19590124,2526809
r0060,charlie,goode,7,tauss place,grahdview,,2575,vic,19761213,6548135
r0061,chloe,pantazopoulos,147,allott place,wyoming park,aldgate,2325,nsw,19860807,9036067
r0062,corey,condo,5,andamooka street,coolinda,hillston,2026,nsw,19900616,4204990
r0063,emiily,berry,3,tenison-woods circuit,,ashfield,6169,nsw,19780527,6459366
r0064,emmet,weller,11,copland drive,,birmingham gardens,4365,wa,19270516,6281502
r0065,liam,tuttleby,5,verco street,rose-lea,trevallyn,2259,qld,19080101,4376020
r0066,karfissa,creten,185,beattie cescent,birrabilla,moranbah,2525,nsw,19360703,2328993
r0067,isabelle,kaminskas,106,isis close,westholme,port augusta,2765,qls,19060622,5344955
r0068,jayden,browne,80,kincumber nautical vlge,chaseling street,sussex inlet,2630,nsw,19430306,2825950
r0069,melissa,lanzotti,24,balfour crescent,killara lodge,cranbourne,2064,vic,19810828,7433231
r0070,bailee,dent,58,maddoc k place,jingara,nowra,4171,qld,19950112,4080299
r0071,quinn,godfrey,21,duffy street,ardersidr,highotn,3165,vic,19450122,3298961
r0072,charlie,stanley,,amagula avenue,,klemzig,3356,vic,19510717,6800801
r0073,jazz,stephenson,210,julia flynn avenue,,ingleubrn,3172,sa,19401214,4166094
r0074,aleisha,mcelwee,34,osburn drive,parraweena,condell park,5237,act,19440525,2532051
r0075,amber,blackwell,25,thomson street,,salisbury,3188,nsw,19860325,5701396
r0076,shakiroh,evans-zijlstra,1,ashkanasycrescent,townview,robina,2340,vic,19510905,4746855
r0077,,shelley,90,cromwell circuit,wombat hill,noble apark,2026,vic,19780711,2664293
r0078,aiden,ryan,292,honey patch,gundulu place,mosman,3076,wa,19360524,3804933
r0079,william,lazavroff,431,leahy lose,millwood,forbes,7256,qld,19780204,8072193
r0080,jamie,van galen,64,callister crescent,mowbray,hackham,3060,nsw,19720909,3179404
r0081,isabella,hendricks,86,colborne place,dog rock shopping centre,north ryde,2000,nsw,19770129,9899655
r0082,lucas,benger,19,cunningham street,padicam,melton south,2232,nsw,19851030,5458466
r0083,harrison,doman,20,harry hopman circuit,moline village,toowong,2088,sa,19570519,1542335
r0084,clarke,isabella,59,gillespie street,,mount victoria,2147,act,19950110,4409764
r0085,emmerson,loyck,5,burnie treet,gordale,thursday island,3147,vic,19211129,3901477
r0086,sarah,behnke,3,pearson street,broombie stud,ramornie,2209,vic,19930910,8625215
r0087,angus,rees,5,heatonnplace,pangani,new farm,6210,nsw,19220723,8576362
r0088,jordan,vaile,12,mullan street,rosewynne,mansfield,4153,qld,19940914,7672358
r0089,tate,hingston,159,oxley street,wylarah,kurri kurri,5045,nsw,19680521,1954716
r0090,charlotte,bovill,28,vickery street,cashbar,scarborough,3911,vic,19730412,5083623
r0091,emma,matthews,39,vanzetti crescent,sunny brees,moorabbin,5158,qld,19910426,1091439
r0092,sophie,nguyen,26,namoi place,,mount colah,2550,nsw,19701117,2122377
r0093,kai,white,8,cockcrofqt avenue,allunga,parramaxta,4197,,19551009,5791061
r0094,blade,stingle,34,earle place,upper warrell,kellyville,5046,,19220925,6748586
r0095,rosie,rundle,8,sturt avneue,talonmane,bundaberg,2263,nt,19751109,9092692
r0096,wanders,harry,120,morehead street,carrington trrmnt vlge,trevallyn,7205,sa,19121013,8289232
r0097,harrison,matthiessen,3,harbison crescent,oakdale,port kembla,2619,wa,19580430,4684373
r0098,lauren,sounness,18,leist street,moondani,seaforth,0832,qld,19900129,6693616
r0099,tommy,spinato,29,howie court,,ballarat,3356,nsw,19821129,4527826
r0100,connor,mayman,40,marenghoplace,wilga,toowoomba,2025,nsw,19651018,8203430
r0101,amber,pamplin,58,milton,sturt acenue,thornlie,5040,wa,19370407,1824555
r0102,nathab,priest,363,banks street,manresa,malvern east,4750,act,19710428,4665603
r0103,casey,vitkunas,22,jones place,karinga park,emmaville,2346,tas,19551192,2474313
r0104,silas,webbm,20,jacka crvscent,shopping centre,nambour,4306,vic,19580212,7373672
r0105,nicholas,fittock,10,fortitudey street,,st kilda east,2298,nt,19651025,8437365
r0106,jayden,liberts,3,odern place,peppertree,corryong,2614,qld,19341218,5242447
r0107,ashleigh,quilliam,57,bedford street,rosall,surrey hills,6525,nsw,19460730,6408479
r0108,joel,ryan,26,lance hill avenue,cameroo,forest hill,3070,nsw,19720615,7563426
r0109,danjel,vincent,7,forbes street,villa 3,toukley,3178,qld,19510703,8506548
r0110,jasper,jennion,16,fitzhardinge crescent,lords house,glenside,4034,nsw,19720414,5825359
r0111,chloe,crosthwaite,42,ashkanasy crescent,,canterbury,4215,nsw,19550722,8848058
r0112,natqlee,coleman,293,minns place,,waterman,3910,vic,19110405,3646292
r0113,sophie,laundy,15,la perouse street,k mart plaza,eight mile plains,3981,vic,19021029,8888208
r0114,reuven,edgecombe,6,ashburton circuit,north vaenue,palmerston,4231,vic,19540701,8642119
r0115,amber,pamplin,14,andrea palce,milton,seven hills,5054,wa,19691006,1824555
r0116,ayla,benjamin,3,bradfield street,concept,tatura,2030,wa,,4452328
r0117,,kempton,8,homburg street,yellow dam,blacktown,3122,vic,19021108,8283089
r0118,dylan,wilkins,18,denovan circuit,two tree hill,brighton-le-sands,2320,nsw,,8735875
r0119,sienna,slape,52,rene street,,burleigh waters,4034,vic,19400331,7340083
r0120,michael,laverty,6,hytten place,sennockke,suffolk park,2208,vic,19631213,9807797
r0121,jake,grosser,3,lexcen a venue,horseshoe bend,bomaderry,2161,vic,19670227,8695287
r0122,madison,maynard,257,holmes crescent,glenview,embleton,2154,nsw,19400506,3031454
r0123,byron,wisowaty,58,pera place,john flynn medical centre,caulfield,6101,,19320304,8901022
r0124,layla,thrussell,27,markell p lace,,frenchs forest,6728,qld,19250608,1947368
r0125,jack,mcneeley,39,keverstone circuit,royal queensland yacht squadron,brighton-le-sands,4702,wa,19880329,1834993
r0126,grace,timmermans,18,cussen street,hallsville,preston,2251,wa,19501207,6702521
r0127,carly,benger,61,gellibrand street,gradnview,carnegie,4011,nsw,19710126,5651019
r0128,brydee,westermann,13,burkitt street,mlc centre,banks,3352,vic,19910126,1387695
r0129,isaac,clarke,1,armytage circuit,oaklands village,annangrove,3636,vic,19570425,9451125
r0130,madison,dixson,37,,white lodge,ringwoid,5047,sa,19940413,7161189
r0131,fraser,tadege,1,mcinneswstreet,,scarborojgh,2870,nsw,19001013,3817644
r0132,lara,chandler,42,dempster place,henry kendall bayside,kingaroy,2219,nsw,19360624,3577228
r0133,hollv,shepherd,3,stillwell place,elstoh,albion park rail,6201,vic,19800323,4620818
r0134,alexa-rose,white,22,warrego circuit,burnisde,bayswater,3040,nt,19160822,2502613
r0135,oliver,cureton,164,drevermann street,burraminga,toronto,3149,qld,19920126,9218356
r0136,benjamin,muog,302,peat place,arlnigton,frankston,4518,nsw,19101008,5994946
r0137,isabella,runlde,8,fawkner street,emerald agrigulural college,pottsville,6154,nsw,,6097070
r0138,charlie,ebert,21,brewster place,summerdale medical centre,frankston,4570,vic,19711020,3939901
r0139,haryr,clarke,,hyndes crescent,royal brisbane hospital,homebush,4805,nsw,19971021,6391939
r0140,hayden,ngai,40,hinkler street,berajondo,nightcliff,2263,vic,19970624,2260097
r0141,samuel,wasley,12,earle street,university shores,northbridge,2530,nsw,19461003,2561997
r0142,amber,black well,25,thomso n street,warrina lakes,salisbury,3188,nsw,19860325,2016958
r0143,micaela,blackwell,,lewin street,rosedina,dulwich hill,4103,nsw,19791204,7856388
r0144,callie,bullock,7,warramoo crescent,kanangra hstl,noble park,2650,tas,19351013,6636494
r0145,sian,beelitz,3,ashkanasy crescent,miowera,sylvania,5042,nsw,19510904,3279804
r0146,daniel,clarke,3,goldsborough close,,wilson,2206,wa,19630507,9886493
r0147,riley,faull,32,turner place,margaret river carvn park,long jetty,2033,nsw,19640728,8404785
r0148,riley,wegemer,45,phillip avenue,walhalla,cremorne,3937,wa,19540621,9657253
r0149,alexandra,knapman,16,mceacherncxrescent,villa 306,chelsea heights,3429,sa,19151113,6888119
r0150,niocla,collier,,schaff eyr place,mt styrt,sheidow park,2098,nsw,19420623,8536431
r0151,emiily,vodden,41,clement place,arcadia,st johns park,2170,nsw,19811218,9588930
r0152,cassandra,rafanelli,3025,,berragoon,st slbans,3020,wa,19270701,7377790
r0153,dominxic,flockhart,2,oxley street,clear creek,northgate,3000,wa,19890621,5173538
r0154,samantha,sabieray,68,quandong street,wattle brae,gorokan,4019,wa,19590807,2863290
r0155,dominic,flockhdart,26,oxley street,clear creek,northgate,3001,wa,19890621,5173538
r0156,harrison,paulka,211,bourne street,tally ho,ballina,3976,vic,19260122,4721250
r0157,toby,maczkowiack,8,kanooka street,carinya vlge,canley vale,3219,nsw,19000328,7799632
r0158,ruby,jeffries,73,forbes street,underwood,st albans,4165,nsw,19490705,8939903
r0159,charlotte,mccraken,5,,flr 5 john flynnmedical centre,bligh park,4814,nsw,19570529,6092940
r0160,sma,webb,5,deamer cerescent,belaradah,west lakes shore,2570,wa,19361215,4408444
r0161,jonah,nguyen,8,dalley crescent,the palms village,kingary,2607,nsw,19591019,9550440
r0162,eliza,white,82,summerland circuit,rsd shee oak ridge,thornlie,2345,qld,19420103,6353345
r0163,barnaby,egan,13,britten-jones drive,rawdon,kaleen,4304,vic,19270529,6442115
r0164,kate,rawlings,70,corin place,oxfodrd,kuraby,4216,qld,19330925,2464828
r0165,mackinley,rees,93,oman place,locn 2192,parmelia,3084,wa,19710708,5830377
r0166,hayden,covino,10,glengariffe,deamer cf escent,north ryde,2705,qld,19541104,2494239
r0167,jessica,ryan,37,mccrae street,cherry haven,junortoun,6065,vic,19980225,4602238
r0168,bradley,clarke,40,sharwood csrescent,lynd hurat,ringwood,3959,wa,19510302,8586164
r0169,locylan,grosser,5,yapunyah street,youralla,gingin,5276,nsw,19530210,5071722
r0170,danielle,morrison,95,london circuit,sec 552,bibra lake,4701,vic,19030709,8907802
r0171,alessandria,rabbitt,19,ellenborough street,inglemer,mirrabooka,2186,vic,19900410,6217834
r0172,phoebe,pettman-south,108,kernot street,surfrider carvn park,ballina,3175,vic,19720328,9681847
r0173,laura,braunak,87,durville crescent,,graceyville,2536,nsw,19550419,6978084
r0174,joshu a,hohn,97,somme rlad place,coralyn,eight mile plains,3178,vic,19260422,6588717
r0175,millane,mccarthy,3,alfred hill drive,hold fast shores,mortlake,2032,wa,19630818,6220857
r0176,emma,thackeray,71,kinkead street,warrah lea,newcomb,4161,,19670913,4676877
r0177,,,1,amaroo wallaroo road,parkside flats,chester hill,4811,nsw,19250804,1323712
r0178,malakai,schoppe,31,boddington crescent,broadwater caravn park,trafalgar,2747,vic,19141221,9890346
r0179,anastasia,kromwyk,17,dyson street,,talwood,4115,vic,,8198114
r0180,jared,wytkin,61,belfield crescent,rowethorpe,bundaberg,5081,,19831025,2988806
r0181,brinaa,morrison,4,coolac vplace,esk farm,seaton,2566,vic,19131203,2277933
r0182,lily,petersen,13,bissenberger crescent,,melville,2250,,19020326,3851124
r0183,sophie,lovelock,7,calder crescent,,pitt town,3810,nsw,19470413,1321061
r0184,joshua,eyles,27,harcourt street,belmore river,underdale,2112,vic,19861219,1761692
r0185,abbey,herno,1,drosera place,quandialla,yarra junction,0800,vic,19760613,2291123
r0186,alexandra,heron,327,tullaroop street,vinery,elsternwick,6208,nsw,19400609,9873657
r0187,jaiden,rollins,48,tulgeywood,rossarden street,balwyn north,2224,nt,19280722,7626396
r0188,timothy,neville,21,fihelly street,villa2,st lucia,3108,wa,19781123,1955388
r0189,jarod,mccarthy,63,henty street,moriah ifelds,,2166,nsw,19400529,6158276
r0190,erin,humphreys,11,endeavour street,lake macquzrie vlge,umina beach,4873,nsw,19670519,9387932
r0191,ruby,reid,7,fitzmaurice street,,eaglwhawk,2260,qld,19120626,8386277
r0192,charlie,primvaera,6,chauvel street,st francis vlge,dover yeights,2533,nsw,19250314,3173638
r0193,christian,ferris,3,coombe street,warraview,plumpton,5008,nsw,19930222,1670806
r0194,eliza,mason,57,kennedy sreet,brentwodo vlge,bundamba,4067,tas,19071124,3004030
r0195,kylie,dixon,4,sanford xplace,white lofdge,phillip,5047,sa,19000404,7161189
r0196,lauren,paine,27,mcvey pace,yambira,helid on,2776,qld,19440502,4517134
r0197,alexandra,grosvenor,16,anembo street,glenlee,frankston,4818,nsw,19930305,2128447
r0198,harrison,schumann,24,monaro crescent,donnelly rvr villg,oakleigh,2280,nsw,19991013,9551413
r0199,beams,emiily,1,tarrabo ol street,,andergrove,2075,qld,19011124,6512231
r0200,ryan,fey,82,kitchener street,un t 1,slacks creek,3450,qld,19870928,4515379
r0201,georgia,byersi,17,hilder street,,palmerston,4740,nse,19550530,6410415
r0202,anika,spicer,3,melrose drive,rmbe 770,view bank,2067,nsw,19861012,1434508
r0203,liam,kothe,8,beaurepaire crescent,,allawah,4570,qld,19740720,6657084
r0204,jaco b,,24,downward place,banksia village,bunbury,4671,qld,19470530,3777070
r0205,pia,campbell,28,euree street,ursula,corowa,3199,vic,19150704,7029505
r0206,lucinda,mcneill,7,ashburton circuit,malekula,vaucluse,3223,qld,19090228,4364711
r0207,olivia,wheatley,5,crisp circuit,stanhope sth,lake clarendon,4575,qld,19421007,5051083
r0208,thomas,finlay,2,vicke ry street,brindabella court,page,2160,qld,19520829,5555657
r0209,erin,humphreys,11,endeavour street,lake macquaire vlge,elanora heights,4874,nsw,19670519,5094045
r0210,dominic,,2,oxley street,clear creek,northgate,3000,wa,19890621,5173538
r0211,isabella,gilbertson,67,boswell c rescent,,morwell,4704,qld,19111011,9304242
r0212,holly,shepherd,44,castlereaghcrescent,dalkeith cottage,eaton,6060,vic,19980816,1917978
r0213,lachlan,goldsworthy,61,ashkanasy crescent,mcivor ridge,rowville,3158,vic,19450818,8577437
r0214,andrea,brokenshire,3,sturdee crescent,,birmingham gardens,2455,nsw,19450619,2381532
r0215,jed,hearn,560,gairdner circuit,hd curramulka,alice springs,3056,qld,19060312,9442649
r0216,jordhau,ryan,16,carnegie crescent,tahmoor,millrbook,6004,vic,19900903,2479030
r0217,joshua,morrison,17,beasley street,,tingalpa,5097,vic,19101123,1294692
r0218,flynn,crea,45,,,lismore,2068,nsw,19610318,7062906
r0219,jacob,marampon,39,lowanna street,glenveagh,keysborough,3806,vic,,7380723
r0220,olivia,philps,84,ennor crescent,yarawee,king river,2540,nsw,19770302,4412451
r0221,madison,fenwick,63,terry close,llandina,glenside,4551,sa,19210711,9717577
r0222,juliana,petersen,25,currong street,admiralty quays,glenside,5280,nsw,19610510,1726629
r0223,loan,green,11,marlock street,kersley mews,an ula,6233,nsw,19440514,2837625
r0224,ebpony,,90,david street,,long jetty,6630,nsw,19410614,7166687
r0225,timothy,neville,21,fihelly street,villa 2,st lucia,3108,wa,19781123,1955388
r0226,charlei,ebert,21,brewste r place,summerdale medical centre,frankston,4570,vic,19711020,3939901
r0227,bianca,marlow,34,dietricho place,,alice springs,5065,wa,19980201,4351633
r0228,kayne,priest,48,temperley street,sunrest squd,north nrarabeen,3995,wa,19831118,1585410
r0229,madison,boxhall,10,yanda street,kookaburra village,dapto,4703,sa,19170926,7262746
r0230,erin,birchby,24,burrowes place,elston,creswick,4721,vic,19461022,7298611
r0231,jasmine,sach,17,goble s treet,ren own,gawler west,2031,nsw,19791109,2530372
r0232,jack,brock,1,duhig place,,boyanup,2484,nsw,19800422,8460078
r0233,hugo,walkington,51,oxley street,karoo,oak park,6026,nsw,19150227,8296721
r0234,,whiteley,17,mcluckie crescent,kintrye,malvern east,4810,vic,19800908,2774642
r0235,cameron,unyland,25,chewings street,underwood,broken hill,6109,qld,19980904,2071902
r0236,jared,wytkon,61,belfield crescent,rowethorpe,bundaberg,5081,,19831025,2988806
r0237,danielle,millar,6,stanfield close,rosetta village,blackburn north,3102,qld,19991007,1611706
r0238,charlotte,carbone,12,peppin place,,albury,4559,sa,19171126,4856046
r0239,matthew,seddon,195,collingriddge street,port 366,paralowie,3830,nsw,19920305,6514580
r0240,any,miteff,68,john clelad crescent,barkom,blackheath,2036,qld,19160228,2583901
r0241,jessica,wasley,53,eyre street,milmilland,cronulla,2564,wa,19931004,3209589
r0242,keely,dixon,2,lacey place,briars meadows,barrington,5087,nsw,19380328,5477511
r0243,matthew,brookhouse,3,goodparla street,timdoolin,highett,2170,nsw,19101115,6804612
r0244,,rundle,101,eaglemont retreat,laalgarths,prospect,6168,qld,19070103,7881088
r0245,,frgh,62,matina street,sun city r esort,ascot park,4107,wa,19760203,9419843
r0246,olivia,cecotti,4,dobell circuit,,cabramatta,6152,vic,19580919,6701777
r0247,brianna,morrison,4,burston place,esk f airm,seaton,2566,vic,19131203,2277933
r0248,sarah,greenw,37,kelleway avenue,allandale,marlesgon,6014,qld,19140908,6213427
r0249,jenna,pasalic,679,tarana street,mallanganee,osborne,4342,vic,19541124,7730932
r0250,kylie,koziol,16,wolff crescent,brentwood vlge,kurrajong heights,3135,vic,19320709,9336502
r0251,samuel,walls,74,shoalhaven avenue,clearc reek,racevieh,3223,nsw,19370409,4859969
r0252,christopher,behnke,378,troughton street,,geranium,3496,qld,19080930,7045937
r0253,alexandra,clarke,184,sadlier srreet,yakatoon,westbrook,2756,qld,19190129,2749367
r0254,zachary,ebert,64,costello circuit,foxlea,mosman,2280,nsw,19390217,2473890
r0255,zarlia,lowe,48,van raalte place,hd blanche sec 28,cabramatta,3192,wa,19730726,2720933
r0256,jasmine,morrison,16,methven place,armidale,point lonsdale,3211,wa,19760810,1195414
r0257,joshua,felmingham,46,fullagar crescent,mariner views,evandsle,2229,nsw,19810315,8249572
r0258,holly,stoker,5,ballumbir street,chetwynd,kirrawee,6009,vic,19300121,8373818
r0259,nicilas,fogg,48,wilshire street,safar i lodge,lemonhrove,2011,,19901127,3325932
r0260,grayson,stanley,9,eaglemont retreat,,brighton-le-sands,4107,tas,19710422,5818249
r0261,liam,grubb,63,rowellsplace,,kotara south,3002,qld,19660416,6643838
r0262,toby,garran,8,mcguiness place,the tops,miami,3125,qld,19520817,8221456
r0263,christian,walch,3,coombe street,warraview,plumpotn,5008,nsw,19930222,1670806
r0264,nataoia,georfe,22,woollum s treet,glenview,morwell,6065,wa,19540306,7746839
r0265,connor,moerland,38,arthur circle,red cross units,greenwood,2680,wa,19351222,6169516
r0266,jessica,mac kinder,15,wright place,,lavender bay,4727,sa,19191217,1762210
r0267,hayley,white,1,hallenc lose,chelsez house,oran ge,2176,sa,19810909,4247423
r0268,amber,white,31,moodie street,degafelga,eaton,2042,nsw,19120819,2839026
r0269,jaxin,helling,13,donald place,the mount,riverhills,4214,vic,19141026,3066240
r0270,benjamin,presley,85,namatjira drive,guest village (cnr bullcreek d drive,sunnybank,2320,wa,19831208,5671732
r0271,keeley,felmingham,32,angliss place,cranbrook,annandale,2670,nsw,19860811,5148092
r0272,kaysey,kon,1,ohiostation,gaylard place,,5009,vic,19600828,8475924
r0273,spyke,karlsen,4,northam street,aptmt 206,southbank,2329,aw,19110129,5567470
r0274,keziah,parr,20,clift crescent,brookvale,murphys creek,2761,nsw,19550103,3697304
r0275,kyle,malin,318,namadgi circuit,old hillside,mooroolbark,3912,wa,19091113,3977557
r0276,roisin,bishop,32,manning street,rosehlen,mount colah,2902,vic,19481220,9469770
r0277,,blyde,,torrens street,moorillyah,port augusta,3620,vic,19650621,8787550
r0278,mikhayla,hannaan,20,,brentwoodvlge,penshurst,2257,vic,19770501,1030769
r0279,oliver,campbell,124,moon place,,thornbury,4103,vic,19681119,8352510
r0280,lee,zogopoulos,61,woronorastreet,tourist park,coombabah,6107,nsw,19200609,3239855
r0281,joshua,clarke,25,kingsford smith drive,,taigum,6108,vic,19961109,1596405
r0282,vincen,luke,,du faur sctreet,ehwk,rose bay,4122,vic,19731223,5930785
r0283,lachlq-njohn,rivers,5,perier place,oakdale,corio,4313,nsw,19960904,8009557
r0284,hana,weaver,8,colvin street,,albury,6085,,19181111,9473856
r0285,daniel,kluske,40,hawkesbury crescent,tritonu nits,oakhurst,3175,nsw,19820727,7413438
r0286,kiandra,,2,gatliff place,rustenburg sth,girgarre,3995,qld,19801125,3328205
r0287,grace,futcher,70,burt street,clear creek,mentone,6023,nsw,19361127,2331344
r0288,melinda,sherin,9,conley d rive,,westmeaodws,3226,vic,19511104,9615557
r0289,samara,willing,,,coolzinda,concord,3765,nsw,19600828,1045315
r0290,benjamin,brakin,12,leahy close,elizabeth residential village,dover heights,2164,nsw,19240924,9191751
r0291,lucy,shelley,43,longstaff street,agarabi,dover heights,4152,nsw,19100324,4322420
r0292,shana,kowald,9,locn 24,dookie street,port macquarie,2568,sa,19200305,2522502
r0293,jake,burnell,34,bennelong crescent,greta main,ivanhoe,5066,nsw,19170529,9639692
r0294,coby,berry,72,heagney crescent,,cremorne,3078,vic,19260518,1390881
r0295,,siemers,21,hopegood rplace,,auburn,5700,vic,19350122,2557455
r0296,blake,bristow,12,archibald street,the willows,cleveland,2184,,19540515,9773077
r0297,chloe,woodmansee,,gollan street,ettrick,renown park,4066,nsw,19181016,7475748
r0298,alec,mason,18,barrie r treet,sec 443 bellamour,park hplme,2029,wa,19061024,5623275
r0299,trentk,brni,40,madigan street,,ekibin,3196,nsw,19700723,7357958
r0300,amber,kexel,49,daintree crescent,,new farm,4061,vic,,9952722
r0301,crea,lauren,118,city walk,sit 9,atholp ark,3081,vic,19960613,1646449
r0302,jade,dixon,202,leven street,francis ch ambers,toronto,3228,nsw,,5898510
r0303,emiily,leslie,37,medley street,tamar arcade,athelstone,4380,sa,19900328,5816513
r0304,george,riddell,79,knoke avenue,bonnie doon,manly vale,4405,sa,19360413,2523840
r0305,white,jean-claude,75,noel ryangarden,,glengorwie,7081,nsw,19400918,9764411
r0306,christian,berryman,3,coxstreet,bays hospital,sunshine,2513,qld,19890812,5492745
r0307,ethan,vincdnt,2,o'connell street,canberra hse,urana,5108,tas,19510914,5305035
r0308,joh,banelis,5,sexton smtreet,glenhurst,auburn,3140,vic,19981006,8328210
r0309,hannah,bullock,115,mcaulay place,wathonga,salt ash,0810,vic,19671103,9343222
r0310,samuel,,464,warragamba avenue,alton hills,,5086,qld,19120212,8866520
r0311,christian,colemn,312,anderson street,ngere,north sydney,2486,nsw,19851226,3498401
